Province_State,Country_Region,Last_Update,Lat,Long_,Confirmed,Deaths,Recovered,Active,FIPS,Incident_Rate,People_Tested,People_Hospitalized,Mortality_Rate,UID,ISO3,Testing_Rate,Hospitalization_Rate
Alabama,US,2020-08-10 23:35:19,32.3182,-86.9023,103020,1797,37923.0,63300.0,1.0,2101.083275462786,780567.0,12070.0,1.7443214909726266,84000001.0,USA,15919.591041333335,11.716171617161715
Alaska,US,2020-08-10 23:35:19,61.3707,-152.4044,3774,26,1332.0,2416.0,2.0,515.8944425838465,280343.0,,0.6889242183359828,84000002.0,USA,38322.044440191654,
American Samoa,US,2020-08-10 23:35:19,-14.271,-170.132,0,0,,0.0,60.0,0.0,1396.0,,,16.0,ASM,2508.9412483600217,
Arizona,US,2020-08-10 23:35:19,33.7298,-111.4312,187523,4154,25848.0,157521.0,4.0,2576.31942552513,1028231.0,19277.0,2.21519493608784,84000004.0,USA,14126.541806749734,10.279805677170268
Arkansas,US,2020-08-10 23:35:19,34.9697,-92.3731,50028,555,42130.0,7343.0,5.0,1657.7617366800494,569320.0,3336.0,1.1093787479011754,84000005.0,USA,18865.373629301303,6.668265771168146
California,US,2020-08-10 23:35:19,36.1162,-119.6816,566952,10416,,556536.0,6.0,1434.8775061327224,8998353.0,,1.8371925665664817,84000006.0,USA,22773.59337640912,
Colorado,US,2020-08-10 23:35:19,39.0598,-105.3111,51020,1862,5554.0,43604.0,8.0,885.958307517483,591840.0,6616.0,3.6495491963935716,84000008.0,USA,10277.255286576776,12.967463739709913
Connecticut,US,2020-08-10 23:35:19,41.5978,-72.7554,50567,4444,8721.0,37402.0,9.0,1418.3149911914527,902957.0,10920.0,8.788340221883837,84000009.0,USA,25326.348201421093,21.59511143631222
Delaware,US,2020-08-10 23:35:19,39.3185,-75.5071,15634,591,8500.0,6543.0,10.0,1605.522487995038,200672.0,,3.7802225917871306,84000010.0,USA,20607.86802551748,
Diamond Princess,US,2020-08-10 23:35:19,,,49,0,,49.0,88888.0,,,,0.0,84088888.0,USA,,
District of Columbia,US,2020-08-10 23:35:19,38.8974,-77.0268,12807,591,10188.0,2028.0,11.0,1814.6678209958495,220391.0,,4.614663855703912,84000011.0,USA,31227.95781503056,
Florida,US,2020-08-10 23:35:19,27.7663,-81.6868,536961,8277,,528684.0,12.0,2500.081828918941,4013857.0,31177.0,1.541452731203942,84000012.0,USA,18688.454002393268,5.806194490847566
Georgia,US,2020-08-10 23:35:19,33.0406,-83.6431,219025,4229,,214796.0,13.0,2062.8828671514734,1861962.0,20676.0,1.9308298139481797,84000013.0,USA,17536.85428187235,9.440018262755393
Grand Princess,US,2020-08-10 23:35:19,,,103,3,,100.0,99999.0,,,,2.9126213592233015,84099999.0,USA,,
Guam,US,2020-08-10 23:35:19,13.4443,144.7937,418,5,325.0,88.0,66.0,254.52264825335357,25076.0,,1.1961722488038278,316.0,GUM,15268.923271772952,
Hawaii,US,2020-08-10 23:35:19,21.0943,-157.4983,3638,34,1548.0,2056.0,15.0,256.94413054287395,142096.0,239.0,0.9345794392523364,84000015.0,USA,10035.935451792253,6.569543705332601
Idaho,US,2020-08-10 23:35:19,44.2405,-114.4788,24675,237,9157.0,15281.0,16.0,1380.7555964668327,206476.0,999.0,0.96048632218845,84000016.0,USA,11553.916617470546,4.048632218844984
Illinois,US,2020-08-10 23:35:19,40.3495,-88.9861,196699,7846,,188853.0,17.0,1552.2551967866339,3107641.0,,3.98883573378614,84000017.0,USA,24524.028551224008,
Indiana,US,2020-08-10 23:35:19,39.8494,-86.2583,74992,3044,54068.0,17880.0,18.0,1113.9269236488,852111.0,9354.0,4.0590996372946435,84000018.0,USA,12657.208566744484,12.473330488585448
Iowa,US,2020-08-10 23:35:19,42.0115,-93.2105,49080,934,37317.0,10829.0,19.0,1555.591476575797,521387.0,,1.9030154849225756,84000019.0,USA,16525.37027704615,
Kansas,US,2020-08-10 23:35:19,38.5266,-96.7265,31158,384,1319.0,29455.0,20.0,1069.5036648984626,326669.0,1911.0,1.232428268823416,84000020.0,USA,11212.96914785018,6.133256306566532
Kentucky,US,2020-08-10 23:35:19,37.6681,-84.6701,35254,775,8738.0,25741.0,21.0,789.0908757198657,657807.0,4024.0,2.198332104158393,84000021.0,USA,14723.705159263,11.414307596301127
Louisiana,US,2020-08-10 23:35:19,31.1695,-91.8678,131961,4287,89083.0,38591.0,22.0,2838.607174247772,1547933.0,,3.2486871121013032,84000022.0,USA,33297.5175927348,
Maine,US,2020-08-10 23:35:19,44.6939,-69.3819,4051,125,3537.0,389.0,23.0,301.36615355315985,190906.0,393.0,3.085657862256233,84000023.0,USA,14202.075267889291,9.701308318933595
Maryland,US,2020-08-10 23:35:19,39.0639,-76.8021,96258,3591,5910.0,86757.0,24.0,1592.1782165116251,1056810.0,13247.0,3.730599015146793,84000024.0,USA,17480.415767953316,13.761973030813026
Massachusetts,US,2020-08-10 23:35:19,42.2302,-71.5301,121315,8741,99021.0,13553.0,25.0,1760.1007935723785,1331276.0,12062.0,7.205209578370358,84000025.0,USA,19314.841067171103,9.942711123933561
Michigan,US,2020-08-10 23:35:19,43.3266,-84.5361,97306,6526,63636.0,27144.0,26.0,974.3405758187987,2122589.0,,6.706677902698702,84000026.0,USA,21253.82390075276,
Minnesota,US,2020-08-10 23:35:19,45.6945,-93.9002,61516,1701,54364.0,5451.0,27.0,1090.7803913446837,944160.0,5606.0,2.765134274010013,84000027.0,USA,16741.517886273432,9.113076272839589
Mississippi,US,2020-08-10 23:35:19,32.7416,-89.6787,67649,1912,42391.0,23346.0,28.0,2273.038077058642,494593.0,4680.0,2.8263536785466155,84000028.0,USA,16618.556396201937,6.918062351254267
Missouri,US,2020-08-10 23:35:19,38.4561,-92.2884,60359,1341,,59018.0,29.0,983.457565612175,769918.0,,2.2217067877201413,84000029.0,USA,12544.63596151352,
Montana,US,2020-08-10 23:35:19,46.9219,-110.4544,5017,75,3413.0,1529.0,30.0,469.41460247123354,193405.0,273.0,1.4949172812437712,84000030.0,USA,18095.90017758599,5.441498903727328
Nebraska,US,2020-08-10 23:35:19,41.1254,-98.2681,28696,348,20896.0,7452.0,31.0,1483.451267778049,302635.0,1722.0,1.2127125731809312,84000031.0,USA,15644.838110677789,6.0008363534987454
Nevada,US,2020-08-10 23:35:19,38.3135,-117.0554,56972,963,1326.0,54683.0,32.0,1849.6465763422373,522192.0,,1.6903040089868708,84000032.0,USA,16953.42703421515,
New Hampshire,US,2020-08-10 23:35:19,43.4525,-71.5639,6842,419,6095.0,328.0,33.0,503.1951642665243,174278.0,704.0,6.123940368313358,84000033.0,USA,12817.282496059825,10.289389067524118
New Jersey,US,2020-08-10 23:35:19,40.2989,-74.521,185031,15878,33013.0,136140.0,34.0,2083.168677994954,2324046.0,21992.0,8.581264761040043,84000034.0,USA,26165.236276188643,11.885575930519753
New Mexico,US,2020-08-10 23:35:19,34.8405,-106.2485,22444,690,9319.0,12435.0,35.0,1070.378175807374,627627.0,2851.0,3.0743183033327397,84000035.0,USA,29932.19761840379,12.702726786669045
New York,US,2020-08-10 23:35:19,42.1657,-74.9481,421336,32781,73736.0,314819.0,36.0,2165.8553927478883,6563646.0,89995.0,7.780251390813983,84000036.0,USA,33740.07463209435,21.35943759849621
North Carolina,US,2020-08-10 23:35:19,35.6301,-79.8064,137562,2199,105093.0,30270.0,37.0,1311.6027674835555,2001919.0,,1.5985519256771492,84000037.0,USA,19087.556888369694,
North Dakota,US,2020-08-10 23:35:19,47.5289,-99.784,7713,113,6434.0,1166.0,38.0,1012.1223732452215,169839.0,417.0,1.4650589913133671,84000038.0,USA,22286.769317982,5.4064566316608325
Northern Mariana Islands,US,2020-08-10 23:35:19,15.0979,145.6739,48,2,29.0,17.0,69.0,87.04482808646453,12301.0,4.0,4.166666666666667,580.0,MNP,22307.050631075,8.333333333333334
Ohio,US,2020-08-10 23:35:19,40.3888,-82.7649,101731,3673,79321.0,18737.0,39.0,870.3065248821551,1687644.0,11629.0,3.6105022068002874,84000039.0,USA,14437.758253415575,11.431127188369329
Oklahoma,US,2020-08-10 23:35:19,35.5653,-96.9289,43963,605,36378.0,6980.0,40.0,1111.0265907938167,694448.0,3625.0,1.3761572231194414,84000040.0,USA,17549.989625903247,8.245570138525576
Oregon,US,2020-08-10 23:35:19,44.572,-122.0709,21488,357,4226.0,16905.0,41.0,509.4675177707856,450732.0,1798.0,1.6613924050632911,84000041.0,USA,10686.58382445373,8.367460908413996
Pennsylvania,US,2020-08-10 23:35:19,40.5908,-77.2098,124221,7314,91978.0,24929.0,42.0,970.3257829701306,1360283.0,,5.887893351365711,84000042.0,USA,10625.5598251178,
