Province_State,Country_Region,Last_Update,Lat,Long_,Confirmed,Deaths,Recovered,Active,Admin2,FIPS,Combined_Key,Incident_Rate,People_Tested,People_Hospitalized,UID,ISO3,Cases_28_Days,Deaths_28_Days
,Afghanistan,2021-07-04 04:22:07,33.93911,67.709953,120216,4962,73635,-33161,,,Afghanistan,0.0,,,4,AFG,43588,1894
,Albania,2021-06-01 09:21:52,41.1533,20.1683,132315,2451,129431,433,,,Albania,4597.783028702481,,,8,ALB,154,5
,Algeria,2021-06-01 09:21:52,28.0339,1.6596,128913,3596,89839,35478,,,Algeria,293.97932450546267,,,12,DZA,10189,231
,Andorra,2021-06-01 09:21:52,42.5063,1.5218,13727,127,13458,142,,,Andorra,17766.129554131883,,,20,AND,160,0
,Angola,2021-06-01 09:21:52,-11.2027,17.8739,34551,766,28079,5706,,,Angola,105.12602160975504,,,24,AGO,3782,118
,Antigua and Barbuda,2021-06-01 09:21:52,17.0608,-61.7964,1260,42,1213,5,,,Antigua and Barbuda,1286.6595866350788,,,28,ATG,1,0
,Argentina,2021-06-01 09:21:52,-38.4161,-63.6167,3781784,78093,3350602,353089,,,Argentina,8367.560535578357,,,32,ARG,597042,14971
,Armenia,2021-06-01 09:21:52,40.0691,45.0382,222778,4445,213429,4904,,,Armenia,7518.069784566457,,,51,ARM,2289,66
Australian Capital Territory,Australia,2021-07-04 04:22:07,-35.4735,149.0124,124,3,121,0,,,"Australian Capital Territory, Australia",28.965195047886013,,,3601,AUS,0,0
New South Wales,Australia,2021-07-04 04:22:07,-33.8688,151.2093,5942,54,0,5888,,,"New South Wales, Australia",73.19536831731952,,,3602,AUS,336,0
Northern Territory,Australia,2021-07-04 04:22:07,-12.4634,130.8456,185,0,177,8,,,"Northern Territory, Australia",75.3257328990228,,,3603,AUS,12,0
Queensland,Australia,2021-07-04 04:22:07,-27.4698,153.0251,1715,7,1641,67,,,"Queensland, Australia",33.5255595738442,,,3604,AUS,84,0
South Australia,Australia,2021-07-04 04:22:07,-34.9285,138.6007,810,4,790,16,,,"South Australia, Australia",46.11443210930828,,,3605,AUS,48,0
Tasmania,Australia,2021-07-04 04:22:07,-42.8821,147.3272,234,13,221,0,,,"Tasmania, Australia",43.69747899159664,,,3606,AUS,0,0
Victoria,Australia,2021-07-04 04:22:07,-37.8136,144.9631,20714,820,19876,18,,,"Victoria, Australia",312.433068372072,,,3607,AUS,86,0
Western Australia,Australia,2021-07-04 04:22:07,-31.9505,115.8605,1029,9,1011,9,,,"Western Australia, Australia",39.116551357104846,,,3608,AUS,11,0
,Austria,2021-04-12 23:21:05,47.5162,14.5501,578950,9706,538609,31731,,,Austria,6262.779801030379,,,40,AUT,4402,78
,Azerbaijan,2021-06-01 09:21:52,40.1431,47.5769,333956,4913,324565,4478,,,Azerbaijan,3293.7196566781813,,,31,AZE,1684,44
,Bahamas,2021-06-01 09:21:52,25.025885,-78.035889,11796,230,10730,836,,,Bahamas,2999.6338188623968,,,44,BHS,805,14
,Bahrain,2021-06-01 09:21:52,26.0275,50.55,240531,980,211024,28527,,,Bahrain,14135.71950354464,,,48,BHR,17990,287
,Bangladesh,2021-06-01 09:21:52,23.685,90.3563,800540,12619,740372,47549,,,Bangladesh,486.09083683311883,,,50,BGD,122175,2020
,Barbados,2021-06-01 09:21:52,13.1939,-59.5432,4017,47,3922,48,,,Barbados,1397.844598097929,,,52,BRB,53,0
,Belarus,2021-06-01 09:21:52,53.7098,27.9534,394439,2851,385382,6206,,,Belarus,4174.257600096345,,,112,BLR,21278,272
Antwerp,Belgium,2021-07-04 04:22:07,51.2195,4.4024,141502,0,0,141502,,,"Antwerp, Belgium",7615.88085163182,,,5601,BEL,2687,0
Brussels,Belgium,2021-07-04 04:22:07,50.8503,4.3517,133718,0,0,133718,,,"Brussels, Belgium",11064.40653283047,,,5602,BEL,2616,0
East Flanders,Belgium,2021-07-04 04:22:07,51.0362,3.7373,124593,0,0,124593,,,"East Flanders, Belgium",8223.612995886642,,,5603,BEL,2071,0
Flemish Brabant,Belgium,2021-07-04 04:22:07,50.9167,4.5833,82744,0,0,82744,,,"Flemish Brabant, Belgium",7219.141928588567,,,5604,BEL,1504,0
Hainaut,Belgium,2021-07-04 04:22:07,50.5257,4.0621,159741,0,0,159741,,,"Hainaut, Belgium",11883.36020103538,,,5605,BEL,2053,0
Liege,Belgium,2021-07-04 04:22:07,50.4496,5.8492,131509,0,0,131509,,,"Liege, Belgium",11879.850983566277,,,5606,BEL,2525,0
Limburg,Belgium,2021-07-04 04:22:07,50.9739,5.3420000000000005,61223,0,0,61223,,,"Limburg, Belgium",7004.535220033682,,,5607,BEL,1012,0
Luxembourg,Belgium,2021-07-04 04:22:07,50.0547,5.4677,31237,0,0,31237,,,"Luxembourg, Belgium",10974.290150998811,,,5608,BEL,214,0
Namur,Belgium,2021-07-04 04:22:07,50.331,4.8221,59799,0,0,59799,,,"Namur, Belgium",12097.102108936428,,,5609,BEL,936,0
Unknown,Belgium,2021-07-04 04:22:07,,,21028,25185,0,-4157,,,"Unknown, Belgium",,,,5610,BEL,591,171
Walloon Brabant,Belgium,2021-07-04 04:22:07,50.4,4.35,41721,0,0,41721,,,"Walloon Brabant, Belgium",10337.240677008616,,,5611,BEL,708,0
West Flanders,Belgium,2021-07-04 04:22:07,51.0536,3.1458,97693,0,0,97693,,,"West Flanders, Belgium",8169.704531542169,,,5612,BEL,1185,0
,Belize,2021-06-01 09:21:52,17.1899,-88.4976,12809,324,12408,77,,,Belize,3221.4093320020825,,,84,BLZ,482,5
,Benin,2021-06-01 09:21:52,9.3077,2.3158,8058,101,7893,64,,,Benin,66.46761027906993,,,204,BEN,117,2
,Bhutan,2021-06-01 09:21:52,27.5142,90.4336,1620,1,1308,311,,,Bhutan,209.9500785368812,,,64,BTN,453,0
,Bolivia,2021-06-01 09:21:52,-16.2902,-63.5887,371279,14524,295273,61482,,,Bolivia,3180.6568800608648,,,68,BOL,59427,1979
,Bosnia and Herzegovina,2021-06-01 09:21:52,43.9159,17.6791,204012,9253,175081,19678,,,Bosnia and Herzegovina,6218.332944710384,,,70,BIH,743,293
,Botswana,2021-06-01 09:21:52,-22.3285,24.6849,56313,849,51259,4205,,,Botswana,2394.642002870356,,,72,BWA,15226,292
Acre,Brazil,2021-07-04 04:22:07,-9.0238,-70.812,85871,1746,82354,1771,,,"Acre, Brazil",9736.658597288915,,,7601,BRA,2674,60
Alagoas,Brazil,2021-07-04 04:22:07,-9.5713,-36.782,218620,5399,207278,5943,,,"Alagoas, Brazil",6550.692658891451,,,7602,BRA,22013,559
Amapa,Brazil,2021-07-04 04:22:07,0.902,-52.003,117635,1844,96757,19034,,,"Amapa, Brazil",13909.269022892622,,,7603,BRA,4733,126
Amazonas,Brazil,2021-07-04 04:22:07,-3.4168,-65.8561,403821,13337,345584,44900,,,"Amazonas, Brazil",9743.311593382905,,,7604,BRA,14579,288
Bahia,Brazil,2021-07-04 04:22:07,-12.5797,-41.7007,1135261,24235,1098816,12210,,,"Bahia, Brazil",7633.0001672822755,,,7605,BRA,103532,2578
Ceara,Brazil,2021-07-04 04:22:07,-5.4984,-39.3206,889947,22692,623651,243604,,,"Ceara, Brazil",9745.284698619524,,,7606,BRA,70933,1841
Distrito Federal,Brazil,2021-07-04 04:22:07,-15.7998,-47.8645,432492,9289,415052,8151,,,"Distrito Federal, Brazil",14343.401647880057,,,7607,BRA,22624,510
Espirito Santo,Brazil,2021-07-04 04:22:07,-19.1834,-40.3089,520425,11525,493135,15765,,,"Espirito Santo, Brazil",12950.244485088277,,,7608,BRA,31897,604
Goias,Brazil,2021-07-04 04:22:07,-15.827,-49.8362,682482,19371,651846,11265,,,"Goias, Brazil",9724.24588443387,,,7609,BRA,61466,1969
Maranhao,Brazil,2021-07-04 04:22:07,-4.9609,-45.2744,320177,9127,276239,34811,,,"Maranhao, Brazil",4525.354192352112,,,7610,BRA,25545,850
Mato Grosso,Brazil,2021-07-04 04:22:07,-12.6819,-56.9211,453047,11912,433028,8107,,,"Mato Grosso, Brazil",13001.906174432466,,,7611,BRA,40363,961
Mato Grosso do Sul,Brazil,2021-07-04 04:22:07,-20.7722,-54.7852,337666,8302,316567,12797,,,"Mato Grosso do Sul, Brazil",12150.690935470708,,,7612,BRA,38912,1237
Minas Gerais,Brazil,2021-07-04 04:22:07,-18.5122,-44.555,1823819,46883,1694747,82189,,,"Minas Gerais, Brazil",8615.603035619748,,,7613,BRA,207450,5236
Para,Brazil,2021-07-04 04:22:07,-1.9981,-54.9306,556637,15576,519084,21977,,,"Para, Brazil",6470.367720521012,,,7614,BRA,33777,895
Paraiba,Brazil,2021-07-04 04:22:07,-7.24,-36.782,400011,8670,262724,128617,,,"Paraiba, Brazil",9955.16070049553,,,7615,BRA,58240,862
Parana,Brazil,2021-07-04 04:22:07,-25.2521,-52.0215,1300485,31325,901606,367554,,,"Parana, Brazil",11373.883949362413,,,7616,BRA,184609,4163
Pernambuco,Brazil,2021-07-04 04:22:07,-8.8137,-36.9541,557293,17841,467422,72030,,,"Pernambuco, Brazil",5831.211257089123,,,7617,BRA,61250,1617
Piaui,Brazil,2021-07-04 04:22:07,-7.7183,-42.7289,298129,6639,290026,1464,,,"Piaui, Brazil",9108.106464965611,,,7618,BRA,20619,613
Rio Grande do Norte,Brazil,2021-07-04 04:22:07,-5.4026,-36.9541,344720,6818,150649,187253,,,"Rio Grande do Norte, Brazil",9829.895920929677,,,7620,BRA,71263,562
Rio Grande do Sul,Brazil,2021-07-04 04:22:07,-30.0346,-51.2177,1230115,31686,1183397,15032,,,"Rio Grande do Sul, Brazil",10812.069606694558,,,7621,BRA,119137,2932
Rio de Janeiro,Brazil,2021-07-04 04:22:07,-22.9068,-43.1729,965699,56011,895595,14093,,,"Rio de Janeiro, Brazil",5593.409720495457,,,7619,BRA,82899,4457
Rondonia,Brazil,2021-07-04 04:22:07,-11.5057,-63.5806,249496,6172,234484,8840,,,"Rondonia, Brazil",14038.51510078915,,,7622,BRA,15599,352
Roraima,Brazil,2021-07-04 04:22:07,-2.7376,-62.0751,113277,1756,106376,5145,,,"Roraima, Brazil",18699.949319946318,,,7623,BRA,8339,101
Santa Catarina,Brazil,2021-07-04 04:22:07,-27.2423,-50.2189,1060992,16987,1018514,25491,,,"Santa Catarina, Brazil",14808.421407583866,,,7624,BRA,78128,1426
Sao Paulo,Brazil,2021-07-04 04:22:07,-23.5505,-46.6333,3779408,129453,3330527,319428,,,"Sao Paulo, Brazil",8230.588573382693,,,7625,BRA,424496,15447
Sergipe,Brazil,2021-07-04 04:22:07,-10.5741,-37.3857,265278,5743,247089,12446,,,"Sergipe, Brazil",11540.368974409841,,,7626,BRA,23650,552
Tocantins,Brazil,2021-07-04 04:22:07,-10.1753,-48.2982,199222,3248,181553,14421,,,"Tocantins, Brazil",12666.177538328122,,,7627,BRA,17334,312
Unknown,Brazil,2020-08-03 22:29:27,,,0,,,,,,"Unknown, Brazil",,,,7628,BRA,,
,Brunei,2021-06-01 09:21:52,4.5353,114.7277,242,3,228,11,,,Brunei,55.316435152908795,,,96,BRN,17,0
,Bulgaria,2021-06-01 09:21:52,42.7339,25.4858,418577,17700,382183,18694,,,Bulgaria,6024.038471917099,,,100,BGR,2646,273
,Burkina Faso,2021-06-01 09:21:52,12.2383,-1.5616,13434,166,13255,13,,,Burkina Faso,64.26743212236856,,,854,BFA,41,1
,Burma,2021-06-01 09:21:52,21.9162,95.956,143629,3217,132319,8093,,,Burma,263.97637160692057,,,104,MMR,17053,143
,Burundi,2021-06-01 09:21:52,-3.3731,29.9189,4790,6,773,586,,,Burundi,40.283308556435436,,,108,BDI,633,2
,Cabo Verde,2021-06-01 09:21:52,16.5388,-23.0418,30439,264,28710,1465,,,Cabo Verde,5474.758448024058,,,132,CPV,1759,20
,Cambodia,2021-06-01 09:21:52,11.55,104.9167,30710,220,23389,7101,,,Cambodia,183.68355325217084,,,116,KHM,19275,418
,Cameroon,2021-06-01 09:21:52,3.848,11.5021,78929,1275,35261,42393,,,Cameroon,297.3306877485698,,,120,CMR,1929,49
Alberta,Canada,2021-07-04 04:22:07,53.9333,-116.5765,232097,2301,228901,895,,,"Alberta, Canada",5259.218707017624,,,12401,CAN,3429,58
British Columbia,Canada,2021-07-04 04:22:07,53.7267,-127.6476,147705,1756,145200,749,,,"British Columbia, Canada",2889.990191584015,,,12402,CAN,2656,46
Diamond Princess,Canada,2020-12-09 03:27:05,,,0,1,0,,,,"Diamond Princess, Canada",,,,12413,CAN,0,0
Grand Princess,Canada,2020-12-09 03:27:05,,,13,0,13,13,,,"Grand Princess, Canada",,,,12414,CAN,0,0
Manitoba,Canada,2021-07-04 04:22:07,53.7609,-98.8139,56353,1148,54197,1008,,,"Manitoba, Canada",4090.911400730445,,,12403,CAN,4045,76
New Brunswick,Canada,2021-07-04 04:22:07,46.5653,-66.4619,2336,45,2268,23,,,"New Brunswick, Canada",299.48986721675715,,,12404,CAN,83,1
Newfoundland and Labrador,Canada,2021-07-04 04:22:07,53.1355,-57.6604,1387,7,1372,8,,,"Newfoundland and Labrador, Canada",266.03243409127964,,,12405,CAN,45,1
Northwest Territories,Canada,2021-07-04 04:22:07,64.8255,-124.8457,128,0,128,0,,,"Northwest Territories,Canada",285.0525565651167,,,12406,CAN,0,0
Nova Scotia,Canada,2021-07-04 04:22:07,44.682,-63.7443,5850,92,5706,52,,,"Nova Scotia, Canada",598.4918006623309,,,12407,CAN,209,4
Ontario,Canada,2021-07-04 04:22:07,51.2538,-85.3232,553033,9168,541759,2106,,,"Ontario, Canada",3759.104834498122,,,12408,CAN,10331,355
Prince Edward Island,Canada,2021-07-04 04:22:07,46.5107,-63.4168,207,0,206,1,,,"Prince Edward Island, Canada",130.88177645139672,,,12409,CAN,3,0
Quebec,Canada,2021-07-04 04:22:07,52.9399,-73.5491,375019,11217,362961,363802,,,"Quebec, Canada",4392.519555091937,,,12410,CAN,3658,69
Repatriated Travellers,Canada,2021-07-04 04:22:07,,,13,0,13,0,,,"Repatriated Travellers, Canada",,,,12417,CAN,0,0
Saskatchewan,Canada,2021-07-04 04:22:07,52.9399,-106.4509,48931,568,47942,421,,,"Saskatchewan, Canada",4140.848598504146,,,12411,CAN,1696,25
Yukon,Canada,2021-07-04 04:22:07,64.2823,-135.0,357,5,219,133,,,"Yukon, Canada",869.0783387701447,,,12412,CAN,304,3
,Central African Republic,2021-06-01 09:21:52,6.6111,20.9394,7091,98,6859,134,,,Central African Republic,146.8187679563639,,,140,CAF,50,0
,Chad,2021-06-01 09:21:52,15.4542,18.7322,4931,173,4746,12,,,Chad,30.01973899812485,,,148,TCD,13,0
Antofagasta,Chile,2021-07-04 04:22:07,-23.6509,-70.3975,57826,1131,55771,924,,,"Antofagasta, Chile",9518.15042450299,,,15201,CHL,3675,76
Araucania,Chile,2021-07-04 04:22:07,-38.9489,-72.3311,93332,1243,90510,1579,,,"Araucania, Chile",9750.277886889591,,,15202,CHL,8680,139
Arica y Parinacota,Chile,2021-07-04 04:22:07,-18.594,-69.4785,25279,487,24250,542,,,"Arica y Parinacota, Chile",11182.03372436612,,,15203,CHL,2059,35
Atacama,Chile,2021-07-04 04:22:07,-27.5661,-70.0503,25023,281,23949,793,,,"Atacama, Chile",8660.155601085331,,,15204,CHL,3021,37
Aysen,Chile,2021-07-04 04:22:07,-45.9864,-73.7669,7741,64,7455,222,,,"Aysen, Chile",7504.022955078617,,,15205,CHL,1424,23
Biobio,Chile,2021-07-04 04:22:07,-37.4464,-72.1416,144069,2342,139703,2024,,,"Biobio, Chile",9254.14550955322,,,15206,CHL,11229,200
