Province_State,Country_Region,Last_Update,Lat,Long_,Confirmed,Deaths,Recovered,Active,Admin2,FIPS,Combined_Key,Incident_Rate,People_Tested,People_Hospitalized,UID,ISO3
,Afghanistan,2021-06-01 09:21:52,33.93911,67.709953,71838,2944.0,57629.0,19608.0,,,Afghanistan,0.0,,,4,AFG
,Albania,2021-06-01 09:21:52,41.1533,20.1683,132315,2451.0,129431.0,552.0,,,Albania,4597.783028702481,,,8,ALB
,Algeria,2021-06-01 09:21:52,28.0339,1.6596,128913,3596.0,89839.0,6965.0,,,Algeria,293.97932450546267,,,12,DZA
,Andorra,2021-06-01 09:21:52,42.5063,1.5218,13727,127.0,13458.0,311.0,,,Andorra,17766.129554131883,,,20,AND
,Angola,2021-06-01 09:21:52,-11.2027,17.8739,34551,766.0,28079.0,6599.0,,,Angola,105.12602160975504,,,24,AGO
,Antigua and Barbuda,2021-06-01 09:21:52,17.0608,-61.7964,1260,42.0,1213.0,23.0,,,Antigua and Barbuda,1286.6595866350788,,,28,ATG
,Argentina,2021-06-01 09:21:52,-38.4161,-63.6167,3781784,78093.0,3350602.0,793199.0,,,Argentina,8367.560535578357,,,32,ARG
,Armenia,2021-06-01 09:21:52,40.0691,45.0382,222778,4445.0,213429.0,3335.0,,,Armenia,7518.069784566457,,,51,ARM
Australian Capital Territory,Australia,2021-06-01 09:21:52,-35.4735,149.0124,124,3.0,121.0,0.0,,,"Australian Capital Territory, Australia",28.965195047886013,,,3601,AUS
New South Wales,Australia,2021-06-01 09:21:52,-33.8688,151.2093,5587,54.0,0.0,56.0,,,"New South Wales, Australia",68.82237004188224,,,3602,AUS
Northern Territory,Australia,2021-06-01 09:21:52,-12.4634,130.8456,173,0.0,169.0,7.0,,,"Northern Territory, Australia",70.43973941368078,,,3603,AUS
Queensland,Australia,2021-06-01 09:21:52,-27.4698,153.0251,1618,7.0,1591.0,49.0,,,"Queensland, Australia",31.629361743720068,,,3604,AUS
South Australia,Australia,2021-06-01 09:21:52,-34.9285,138.6007,754,4.0,747.0,28.0,,,"South Australia, Australia",42.92627384002277,,,3605,AUS
Tasmania,Australia,2021-06-01 09:21:52,-42.8821,147.3272,234,13.0,221.0,0.0,,,"Tasmania, Australia",43.69747899159664,,,3606,AUS
Victoria,Australia,2021-06-01 09:21:52,-37.8136,144.9631,20609,820.0,19727.0,112.0,,,"Victoria, Australia",310.84933407743705,,,3607,AUS
Western Australia,Australia,2021-06-01 09:21:52,-31.9505,115.8605,1019,9.0,1006.0,3.0,,,"Western Australia, Australia",38.73640994449936,,,3608,AUS
