Country_Region,Last_Update,Confirmed,Deaths,Recovered,Active,Delta_Confirmed,Delta_Recovered,Incident_Rate,People_Tested,People_Hospitalized,Province_State,FIPS,UID,iso3,Report_Date_String,Delta_Deaths,Doses_Admin,Delta_Doses_Admin
Afghanistan,6/13/21,89861,3527,,,1121,,230.83696271567288,,,,,4,AFG,2021/06/13,78,641295,0
Afghanistan,6/14/21,91458,3612,,,1597,,234.9393723200277,,,,,4,AFG,2021/06/14,85,662003,20708
Afghanistan,6/15/21,93272,3683,,,1814,,239.59921641664616,,,,,4,AFG,2021/06/15,71,662003,0
Afghanistan,6/16/21,93288,3683,,,16,,239.64031757736606,,,,,4,AFG,2021/06/16,0,662003,0
Afghanistan,6/17/21,96531,3842,,,3243,,247.97100909078043,,,,,4,AFG,2021/06/17,159,662003,0
Afghanistan,6/18/21,98734,3934,,,2203,,253.63012515740138,,,,,4,AFG,2021/06/18,92,662003,0
Afghanistan,6/21/21,103902,4215,,,5168,,266.9058000699285,,,,,4,AFG,2021/06/21,281,662003,0
Afghanistan,6/22/21,105749,4293,,,1847,,271.65041531053174,,,,,4,AFG,2021/06/22,78,765890,103887
Afghanistan,6/23/21,107957,4366,,,2208,,277.3223754898777,,,,,4,AFG,2021/06/23,73,765890,0
Afghanistan,6/24/21,109532,4452,,,1575,,281.3682709982426,,,,,4,AFG,2021/06/24,86,765890,0
Afghanistan,6/25/21,111592,4519,,,2060,,286.66004544092954,,,,,4,AFG,2021/06/25,67,765890,0
Afghanistan,6/28/21,115751,4730,,,4159,,297.34377840555806,,,,,4,AFG,2021/06/28,211,835694,69804
Afghanistan,6/29/21,117158,4794,,,1407,,300.9581117263641,,,,,4,AFG,2021/06/29,64,835694,0
Afghanistan,6/30/21,118659,4871,,,1501,,304.81391436639956,,,,,4,AFG,2021/06/30,77,886854,51160
Afghanistan,7/1/21,120216,4962,,,1557,,308.8135710689546,,,,,4,AFG,2021/07/01,91,886854,0
Afghanistan,7/5/21,125937,5283,,,5721,,323.5098048488632,,,,,4,AFG,2021/07/05,321,915671,28817
Afghanistan,7/6/21,127464,5360,,,1527,,327.4323968750685,,,,,4,AFG,2021/07/06,77,915671,0
Afghanistan,7/7/21,129021,5415,,,1557,,331.43205357762355,,,,,4,AFG,2021/07/07,55,934463,18792
Afghanistan,7/8/21,130113,5477,,,1092,,334.2372077967566,,,,,4,AFG,2021/07/08,62,934463,0
Afghanistan,7/9/21,131586,5561,,,1473,,338.02108340553224,,,,,4,AFG,2021/07/09,84,934463,0
Afghanistan,7/11/21,131586,5561,,,0,,338.02108340553224,,,,,4,AFG,2021/07/11,0,934463,0
Albania,6/13/21,132459,2453,,,10,,4602.786851066787,,,,,8,ALB,2021/06/13,0,834868,4587
Albania,6/14/21,132461,2453,,,2,,4602.856348599625,,,,,8,ALB,2021/06/14,0,836430,1562
Albania,6/15/21,132469,2454,,,8,,4603.134338730975,,,,,8,ALB,2021/06/15,1,842535,6105
Albania,6/16/21,132476,2454,,,7,,4603.3775800959065,,,,,8,ALB,2021/06/16,0,842535,0
Albania,6/17/21,132481,2454,,,5,,4603.551323928001,,,,,8,ALB,2021/06/17,0,862628,20093
Albania,6/18/21,132484,2454,,,3,,4603.655570227257,,,,,8,ALB,2021/06/18,0,862628,0
Albania,6/19/21,132488,2454,,,4,,4603.794565292932,,,,,8,ALB,2021/06/19,0,862628,0
Albania,6/20/21,132490,2454,,,2,,4603.86406282577,,,,,8,ALB,2021/06/20,0,862628,0
Albania,6/22/21,132496,2455,,,6,,4604.072555424283,,,,,8,ALB,2021/06/22,1,890052,0
Albania,6/23/21,132497,2455,,,1,,4604.107304190701,,,,,8,ALB,2021/06/23,0,901429,11377
Albania,6/24/21,132499,2455,,,2,,4604.176801723539,,,,,8,ALB,2021/06/24,0,901429,0
Albania,6/25/21,132506,2455,,,7,,4604.42004308847,,,,,8,ALB,2021/06/25,0,922886,21457
Albania,6/26/21,132509,2456,,,3,,4604.524289387727,,,,,8,ALB,2021/06/26,1,922886,0
